Key 	Name/Value 	Type 	Description
0 	id 	integer 	The song ID
1 	name 	string 	The song name
2 	artistID 	integer 	The primary artist ID
3 	filesize 	integer 	The file size of the song in bytes
4 	duration 	integer 	The song's duration in seconds
5 	tags 	string 	The song's tags, separated by dots. The string also has extra dots at the start and end for unknown reasons
6 	musicPlatform 	integer 	The platform this song comes from. 0 for None, 1 for NCS.
7 	extraArtists 	string 	The IDs of the artists that contributed to the song, separated with .
8 	externalLink 	string 	The external link to the song (NOT the GD download link)
9 	newButton 	boolean 	Whether there's a yellow NEW icon next to the song
10 	priorityOrder 	integer 	The priority order of the song. Usually, songs are ordered alphabetically, but if the song has this number set above 0, then it gets put above all the other songs. The song also receives a blue NEW icon. All of the songs with this property have the previous property set as 0.
11 	songNumber 	integer 	The number of the song in the list. Starts at 1. Usage is unknown
