Key 	Name/Value 	Type 	Description
1 	userName 	String 	The username of the user
2 	playerID 	Integer 	The player ID of the user. This is different than the account ID
3 	stars 	Integer 	The amount of stars the player has
4 	demons 	integer 	The amount of demons the player has
6 	ranking 	Integer 	What rank they are (e.g. Viprin would have 1 in the creating leaderboard)
8 	creatorPoints 	Integer 	The amount of creator points the player has
9 	Icon 	Integer 	Which icon the user is using, starting with 1 as the first icon
10 	playerColor 	Integer 	The user's primary player color, presumably ordered cronologically from left to right per update
11 	playerColor2 	Integer 	The user's secondary player color, presumably ordered cronologically from left to right per update
13 	coins 	Integer 	Secret coins
14 	iconType 	Integer 	The user's icon type indexing an array of icon, ship, ball, ufo, wave, robot, spider, swing, jetpack
15 	special 	Integer 	functions the same as glow however it returns a 2 rather than a 1
16 	accountID 	Integer 	The user's account ID. This is different than the player ID
17 	userCoins 	Integer 	The amount of user coins the player has
46 	diamonds 	Integer 	The amount of diamonds the player has
52 	moons 	Integer 	The amount of moons the player has
