Key 	Name/Value 	Type 	Description
1 	listID 	Integer 	The id of the list
2 	listName 	String 	The name of the list
3 	description 	String 	The list description, encoded in base64
5 	version 	Integer 	The version of the list published
7 	difficulty 	Integer 	The difficulty face for the list. -1 = N/A, 0 = Auto, 1 = Easy, 2 = Normal, 3 = Hard, 4 = Harder, 5 = Insane, 6 = Easy Demon, 7 = Medium Demon, 8 = Hard Demon, 9 = Insane Demon, 10 = Extreme Demon
10 	downloads 	Integer 	The amount of times the list has been downloaded
14 	likes 	Integer 	likes - dislikes
19 	rated 	Bool 	If the list is rated or not
28 	uploadDate 	String 	The Unix timestamp of when the list was uploaded
29 	updateDate 	String 	The Unix timestamp of when the list was last updated
49 	accountID 	Integer 	The account ID of the list author
50 	username 	String 	The username of the list author
51 	levelIDs 	Comma-Separated List 	All level IDs in the list, separated by commas
55 	listReward 	Integer 	The amount of diamonds awarded upon beating the required amount of levels in the list
56 	listRewardRequirement 	Integer 	The amount of levels needed to claim the list reward
